Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,51,361,17,4,4,105,5,1296,22
12,64,50,375,17,4,4,137,5,1145,21
12,64,52,414,17,4,4,182,5,1288,23
12,64,50,350,17,4,4,147,5,1120,21
12,64,51,363,17,4,4,105,5,1296,22
12,64,50,375,17,4,4,137,5,1145,21
12,64,52,414,17,4,4,182,5,1288,23
12,64,50,350,17,4,4,147,5,1148,21
12,64,51,362,17,4,4,105,5,1296,22
12,64,51,363,17,4,4,105,5,1296,22
12,64,50,375,17,4,4,137,5,1145,21
12,64,52,414,17,4,4,182,5,1288,23
12,64,50,350,17,4,4,147,5,1148,21
