Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,36,246,9,3,5,60,5,394,12
9,46,35,207,9,3,5,51,5,396,11
9,46,36,218,9,3,5,54,5,444,12
9,46,35,184,9,3,5,46,5,370,11
9,46,36,246,9,3,5,60,5,394,12
9,46,35,205,9,3,5,51,5,396,11
9,46,36,217,9,3,5,54,5,444,12
9,46,35,184,9,3,5,46,5,370,11
9,46,36,246,9,3,5,60,5,394,12
9,46,30,217,9,3,5,112,5,462,14
9,46,29,177,9,3,5,54,5,410,13
9,46,32,195,9,3,5,43,5,492,16
9,46,32,180,9,3,5,41,5,492,16
