Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,37,455,17,4,4,335,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
12,64,37,416,17,4,4,271,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
12,64,37,455,17,4,4,335,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
12,64,37,416,17,4,4,271,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
12,64,37,455,17,4,4,335,5,1079,14
12,64,37,455,17,4,4,335,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
12,64,37,416,17,4,4,271,5,1079,14
12,64,35,228,17,4,4,97,5,972,12
