Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,13,59,9,3,5,32,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,59,9,3,5,32,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,55,9,3,5,16,5,116,2
9,46,13,59,9,3,5,32,5,116,2
9,46,5,23,9,3,5,11,5,97,3
9,46,5,23,9,3,5,11,5,97,3
9,46,5,23,9,3,5,11,5,97,3
9,46,5,23,9,3,5,11,5,97,3
