Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,35,220,9,3,5,58,5,337,9
9,46,35,214,9,3,5,58,5,350,9
9,46,35,199,9,3,5,77,5,314,9
9,46,35,187,9,3,5,42,5,314,9
9,46,35,220,9,3,5,58,5,337,9
9,46,35,214,9,3,5,58,5,350,9
9,46,35,201,9,3,5,77,5,314,9
9,46,35,189,9,3,5,42,5,314,9
9,46,35,220,9,3,5,58,5,337,9
9,46,29,200,9,3,5,83,5,366,12
9,46,29,198,9,3,5,92,5,367,12
9,46,29,175,9,3,5,62,5,376,12
9,46,27,162,9,3,5,67,5,324,10
