Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,34,247,9,3,5,103,5,436,16
9,46,30,186,9,3,5,58,5,353,12
9,46,36,225,9,3,5,72,5,494,18
9,46,36,213,9,3,5,46,5,494,18
9,46,34,246,9,3,5,103,5,436,16
9,46,30,185,9,3,5,58,5,353,12
9,46,36,224,9,3,5,72,5,494,18
9,46,36,211,9,3,5,46,5,494,18
9,46,34,247,9,3,5,103,5,436,16
9,46,29,174,9,3,5,46,5,525,20
9,46,30,173,9,3,5,43,5,547,21
9,46,31,179,9,3,5,36,5,566,22
9,46,30,169,9,3,5,36,5,522,21
