Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
4,24,13,90,7,3,5,62,5,213,13
4,24,13,76,7,3,5,31,5,214,13
4,24,13,86,7,3,5,52,5,212,13
4,24,13,75,7,3,5,31,5,214,13
4,24,13,90,7,3,5,62,5,213,13
4,24,13,76,7,3,5,31,5,214,13
4,24,13,86,7,3,5,52,5,212,13
4,24,13,75,7,3,5,31,5,214,13
4,24,13,90,7,3,5,62,5,213,13
4,24,13,90,7,3,5,62,5,213,13
4,24,13,76,7,3,5,31,5,214,13
4,24,13,86,7,3,5,52,5,212,13
4,24,13,75,7,3,5,31,5,214,13
