Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,48,311,9,3,5,162,5,330,6
9,46,48,257,9,3,5,60,5,330,6
9,46,46,244,9,3,5,53,5,286,9
9,46,46,234,9,3,5,51,5,286,9
9,46,48,311,9,3,5,162,5,330,6
9,46,48,257,9,3,5,60,5,330,6
9,46,46,244,9,3,5,53,5,286,9
9,46,46,234,9,3,5,51,5,286,9
9,46,48,311,9,3,5,162,5,330,6
9,46,33,205,9,3,5,103,5,221,6
9,46,33,178,9,3,5,57,5,220,6
9,46,33,178,9,3,5,50,5,205,6
9,46,33,168,9,3,5,46,5,205,6
